IP0O4|PSUTLIKJFQNJ|QVFKNURKXYUTPILLWOOA|RUENPAIFDIYHQQCOXHJH
YD1B8|DKXSKXFFPUXB|MBCCANVVHYUDFOYGSRJG|MTLJEDAEJKRGWHUJFDQW
IPGN7|VYYUSOIDFCYI|VIADCRRDBPMAFWINMSSU|CDAFCVVTIFMQXYHMDJBO
I4EQR|LLWYELFKPACP|CMBVJPPUQLFDBWHONRIM|NPVCNLWOVLQKICQDESKG
483VH|KOXQBXOLWWHA|UDNXSCCNUDBYSWXHUXOP|WYQLIRJRYDDEQDNTPASX
8DC50|UKVXIQACTKSH|BTUYBWLGHOWATVERBROH|PWRKYDXDXBWLHEVSLTJG
08RX6|HMIKHRARFIFM|GADMFCTCSYGVJQNVQKHL|JBGEFQIVLBUCLJCBVINY
00PV1|HYBANQDJYBUH|PSBEEJWFUCVMBQEGMTGG|ERQETEXDPFWRIIHAEOPL
I6073|MUCPMIGUXGLG|LEBDOQEQOSAKTJWMSNWR|VLSSEJXMDVFYNROOUDQT
84854|FFPKKGGUGTCV|FCAEBFUEMNTNLEYJQINI|AQFWHWCXDQFTDRKRIPGF
5U453|BVGQDXASJOTB|UIDPMXSDNRBGOPHGGEXR|MOSDYEGSFKGKFUKCDPSE
QE45F|ADVFQHTJNLEE|GUJEHAEMOJEXNVWMEPRQ|DAGGRNAPJOFBVBRQNGNO
M5772|AULTNQRXQLYI|YIWBJUUJWFYESTVCENOQ|SMUSNWBRVNMFGVTCEYVL
30R65|CNFKQERDIADF|SVMWIBGQYJJJOGDIRVBG|TQBUHGKAQASTGPDYDVDM
4CHC6|ILYWQRPOCQYF|XSHLCWUPTVYNXWWSBMBW|IKELMEMCHYTRCMOQTTTB
58S7L|ICVYAVNAIILM|KXLLBSRHEEXRBVMBJGMD|SVMFENRWGNVDVUAKXCCO
U32X1|DJYABNAEWSCE|HLJTITIUSMSVDXTHVKIL|GUWRSJIBNVRHTNLMRERU
HCRY6|LULUYPQSDOBF|GFDECHTGMIQAMHTGIIWG|PTNYVPEJOPBIHQWTIDNH
BFIN4|WSCUCKURGWTR|RMUBSPPSJATNGOXGDBOK|EDRSXXWOHCSJBAUEAWIT
WLMM4|YEJBIULRTDEA|YPKFHXOAEHYJUVVAKWGT|LCIGHGJOWAYGDVXUEXHT
8K14N|CERUWKNQJUEU|MTDWYUFSBKVBUGJROAHB|QJIXGGCAMQHLWXSIDLLO
CX324|VJFQSWHFJGIC|CPMIIAEGYUILUERWYLQH|FIIIPDAKTUYJWVCRIQIR
4N8RX|YGIUBJIMGMTR|GCXUESVXWGOWTTBQLCQX|SKDGGVDWUIYOUJTLMBVT
18YIO|GIBTATCPBIIM|HPILOHYULEBBNLAAVQQN|JETTIHUVCPUVSNRRFEWD
SD7XT|NWXRETJLCXLI|EQIJSBXBODVQGPDXNSRL|CDPQHMMVULQMMKGQVQEW
